,reviews
34,"✅ Trip Verified |   I consider American Airlines a world-class carrier with aspirations for excellence, so when I sat down at my seat and found the touch screen was not working. I thought, “Ok, it’s fine; this sometimes happens. This is okay.” Then I put my arm on the armrest and was surprised to see that the entire armrest was covered in duct tape, and I thought to myself, “Duct tape? really?!” If I rent a car, and upon getting in, find the seat is covered with duct tape, I would consider this unacceptable. So, for American Airlines, which has aspirations for excellence. My question is this: Is this acceptable?"
35,"Not Verified |  We were flying 2 legs with American airlines: DTW (Detroit) to DFW (Dallas), DFW to MEX (Mexico city). On the way there, our flight was delayed, and we just barely got to our other flight in time. then, they lost our checked luggage. the worst part is, we were flying with another airline to another destination in Mexico, and simply couldn't wait. The airline staff was either rude, or they didn't know what they were talking about for our lost luggage. The airline then took 2-4 days to get it back to us, near the end of our trip. they also refused to answer our phone calls to customer service. we sat, on hold, for over 5 hours just for them to hang up. On our way back, we got stranded in DFW and it was American airlines' fault! It was a real hassle due to their truly awful customer service."
36,"Not Verified |  Sonya at the MBJ Counter of American Airlines was attentive and addressed my concerns professionally, and in a timely manner. She is definitely an asset to the organization."
37,"✅ Trip Verified |   This was an awful experience. Avoid American Airlines at all costs. First, they changed our itinerary and forced us to add 3 hours flight time and a 4 hour layover to our trip. Next, our flight was delayed due to mechanical issues with the plane but they wouldn't tell us what was happening they just continued to delay for short periods of time so we couldn't leave the gate area and couldn't make other arrangements. Then they announced a new gate, new aircraft and boarding time and again started announcing delays without explanation. The second plane was eventually taken out of service as unrepairable and a third gate and flight was assigned. This time they let us now the departure time was uncertain because they didn't have a crew (it was Thanksgiving and getting late). We finally got them to agree to change our reservation to another airline with a flight leaving later in the evening and they assured us that they would transfer our baggage because they had over an hour and a half. In total, we spent over thirteen hours in Dallas/Ft. Worth airport, our original 4 hour layover and an additional 9 hour delay. Our arrival in Madrid, originally scheduled for early the next morning ended up being 2:30 in the afternoon and we still had to wait for the baggage which, of course, did not make it onto our flight. One whole day in Madrid gone. After i posted a complaint with American Airlines I received one phone message from someone who never returned my phone calls and several apologetic messages without any offers of compensation or resolution. Ultimately they gave me 7500 air miles while they researched my claim and in keeping with their policy of customer neglect, no real satisfaction. I will certainly never fly American again."
38,"✅ Trip Verified |   My nephew and I traveled to Cuba and we were overcharged $165 each for a bags that they considered overweight or oversized, even though, their website states the following: “Each passenger traveling to Cuba may only check up to 2 bags* with a maximum weight of 70 lbs / 32 kgs per bag, plus 1 carry-on bag and 1 personal item” Trips originating outside Cuba. Bag 1 Bag 2 Bag 3 To Cuba. $0 / $35*^ $150 / $200**^ $200 They charged $400 for each of us. I have different phone calls and they refused to get back our money. On top of that, last phone call they hang out. On top of that, they left behind a check in bag in miami when returning back, the bag was broken and also refused to pay what it cost. It was a bad experience and I hope I don’t have to travel with them anymore."
39,✅ Trip Verified |   Very rude staff at YYZ and even worse at MIA. They have no manners in speaking with passengers. Very impatient with seniors that required assistance using the totems to check in.
40,"✅ Trip Verified |   This airline is awful. They have no regard for you as a passenger. We are delayed 30 hours and counting. Just as we are preparing for take off on a 15 hour flight, the Captain realizes he is over his hours. Now we sit on the plane and wait for a new Captain? I had a similar experience returning from Peru in August 2024. The most frustrating part is the complete indifference towards the passengers. I was a loyal customer. Now I just hate this company and will do my best to avoid them in the future."
41,"Not Verified | Multiple flight changes without any notice of gate or flight change. Left New Orleans at 3 am, it is now 8.45pm and still waiting on a delayed flight. 6 of the American Airlines flights are delayed at this time. Will never fly American again, would rather rent a car and drive for days. Will try Delta next time. Pathetic customer service."
42,"Not Verified |  We left 2 hours late, then diverted to Tulsa with no explanation. Left sitting on the plane for 10 hours with no food and no water. They did not help us find or even offer to help find ways to our destination We lost our once in a lifetime trip, NFL game tickets and hotel. We were given no hotel voucher and no flight home. We were stranded in Dallas, had to rent a car to drive home and pay for our hotel. There is no person you can talk to because they don't have a phone number to even call customer service. I will absolutely never fly AA again."
43,"Not Verified |  
I tagged my luggage, as we were boarding I noticed my luggage was left behind. The stewardess just said I don't know what to tell you. I had noticed way before & asked before we boarded. They just said ok just keep an eye on it. We traveled to NY and on way back our flight was canceled then rescheduled to 3 connecting flights and overlay of 8 hours. We're getting home a day late."
44,"✅ Trip Verified |   Had two delays that caused us to miss our connecting flight on the 24th, and even after getting a new flight scheduled, we had to wait over 30 extra minutes because of more maintenance issues. American Airlines has made this whole Christmas Holiday Hell. I can't spend Christmas day with my family because I have to wait for this flight and go to work within an hour after landing. This is my absolute worst flight experience ever!"
45,"Not Verified | We arrived to the airport at 2:30am for our 5am flight. None of the staff were available until 3:30am. They were very rude to customer, even tho they were the ones that came in and started late. Also, my wife and I are both Active Duty military members and they didn't give us our TSA pre-check even after ID and order verification. I've traveled all over the world and this has to be one of the most poor airport experience I've ever had in my life."
46,"✅ Trip Verified |   My Thanksgiving flight began in Detroit at 7am. The first connection in Dallas had over a 9 hr delay. Two planes were taken out of service due to mechanical issues. Two flight crews timed out waiting. At 9pm they had found a third plane and were looking for a flight crew that was available. The flight that was to take off at 1:40pm finally took off just before 11pm. Due to the delay my connection in Madrid was rebooked 3 times and ultimately rerouted to Jerez, Spain. There I was to board the cruise at the second port. Due to the delay, rebooked flights and rerouted flight my luggage was lost. I was reunited with it on day 5 of the cruise. American Airlines customer service is mostly nonexistent. For my trouble AA is offering 10000 miles. That is unacceptable!"
47,Not Verified |  They canceled my flight in the middle of the night and when I got to the airport they wanted me to take a 10:35pm flight (original flight 09:55am). They did not offer me anything additional for them canceling my flight and leaving me to figure out how to get to back to my home city. Since then I now have to stay an additional night at another hotel before I can get home. No incentive if you want to book with American Airline just know the possibility of being left to check in with another hotel and your flight being canceled on a whim.
48,"✅ Trip Verified |   I recently traveled on American Airlines in business class and had an excellent experience. Despite a slight delay due to crew staffing, the team handled it with professionalism. Once onboard, we were promptly offered a pre-departure beverage, which was a nice touch. During the flight, which lasted just over an hour, the service was impeccable, with a full-service offering that far exceeded my expectations for a short flight. The captain and flight attendants went out of their way to apologize for the delay, and their politeness and attention to safety stood out. Overall, it was a very positive and enjoyable journey."
49,"✅ Trip Verified |   The experience with American Airlines, and the lack of respect from their part to us, passengers is overwhelming, there is no one single flight I took that depart on time, the word on time for American Airlines doesn't exist, the lack of professionalism to resolve issues will always surprise you for the worst, Im suppose to arrived to Atlanta at 7pm today, guess, its 6.19pm and we still in Miami, it's been an hour in the airplane at the gate door, waiting first for mechanical issues and now for pilots, not a voucher, not a refund, or partial refund, nothing is offered to us for wasting our time after charging skyrocket prices for a flight"
50,"✅ Trip Verified |   I traveled business class with American Airlines and encountered an appalling experience with the baggage service staff at PDX Airport.  Upon discovering that my luggage was damaged, I approached the baggage service counter to file a claim. Instead of assisting me, the staff misled me by claiming that claims could only be filed through customer support. They forced me to leave the baggage service area and insisted my bags were not damaged. To make matters worse, a staff member who identified herself as a supervisor used derogatory language and laughed at me. When I contacted customer support the following day, I was informed that claims could be filed at the airport and that the staff should have assisted me if I was unable to use the QR code. Acting on this information, I returned to the airport on July 25, only to face the same unprofessional staff. They not only refused to assist me again but also yelled at me, humiliated me further with derogatory remarks, and denied me the ability to file a claim. Following this incident, I emailed the manager to express my concerns. He assured me that my complaint would be escalated to HR and upper management. However, I have yet to receive a response or see any indication of an investigation into the abusive behavior and refusal of service. This lack of accountability has further eroded my trust in American Airlines. This experience has highlighted the severe inadequacies in American Airlines’ customer service and staff behavior. I would not recommend this airline to anyone. The treatment I endured reflects poorly on their commitment to professionalism, respect, and customer care. I urge potential customers to consider other airlines and avoid American Airlines."
51,Not Verified |  Flew on December 11 with AA1572 from Toronto to Miami. Check in with dog in cabin went extremely smoothly and was actually a pleasant experience. As during lunch hour Terminal 3 in Toronto is fairly empty security control and USA passport control was very quick. Boarding started a few minutes early and was civilized. Experience on board in business class was nice and pleasant. Excellent flight attendant and to my surprise the served lunch was one of the best inflight meals I ever had on this route. Arrival a bit before time and even the checked bag arrived quickly. All in all - could not have been a better experience. All perfect.
52,"✅ Trip Verified |   I became ill on the flight out of Heathrow. As we approached LAX I asked for a wheelchair, and subsequently was taken to the emergency room. I was hospitalized for several days, during which I called American about my reservation. I explained the circumstances and was told they were holding open my reservation (first class from LAX to Phoenix). When I called the next day to rebook, they had no record of my reservation or the conversation. I gave them my ticket number and they found my record but offered absolutely no credit for my original business/first class ticket. They did however offer to sell me a ticket in the main cabin. (I hung up and used my points for a ticket home on Southwest.) This is a terrible excuse for customer service, and I will make a point of avoiding American in the future, even if I have to pay more to a competitor."
